file,type,role,imports_keys,exports_keys,ws_events_produced,ws_events_consumed,notes
server/index.js,server,Entry point HTTP/WS,express http ws,app,—,UPGRADE —,Démarre serveur + WS listener
server/ws-handler.js,server,Dispatcher WS,ws socket store,—,depends on handler,HOST_ACTION PLAYER_ACTION,Routes messages vers handlers
server/store.js,server,State & lifecycle,fs/promises,createJoueur getJoueurs modifierScore,PARTIE_CREATED PARTIE_ENDED SCORES_UPDATE,—,Persistent store parties/joueurs/scores
server/store-data.json,data,Persistent storage,—,—,—,—,Sauvegarde local dev (JSON)
server/games/pendu.js,game,Pendu handler,store fs path,handleHostAction handlePlayerAction getSessionState,PENDU_MOT_START PENDU_REVELATION PENDU_RESULT_ACK SCORES_UPDATE,HOST_ACTION:pendu:* PLAYER_ACTION:pendu:*,Tirage mots + scoring
server/games/petitbac.js,game,Petitbac handler,store dictionnaires wikidata-validator,handleHostAction handlePlayerAction getSessionState,PETITBAC_LETTRE_START PETITBAC_REVELATION PETITBAC_RESULT_ACK SCORES_UPDATE,HOST_ACTION:petitbac:* PLAYER_ACTION:petitbac:*,Validation async Wikidata
server/games/morpion.js,game,Morpion handler (relay),—,handleHostAction handlePlayerAction getSessionState setSessionState,HOST_ACTION:morpion:state HOST_ACTION:morpion:reset,HOST_ACTION:morpion:* PLAYER_ACTION:morpion:*,Host-authoritative relay
server/games/puissance4.js,game,Puissance4 handler (relay),—,handleHostAction handlePlayerAction getSessionState setSessionState,HOST_ACTION:puissance4:state HOST_ACTION:puissance4:reset,HOST_ACTION:puissance4:* PLAYER_ACTION:puissance4:*,Host-authoritative relay (gravité)
server/games/uno.js,game,UNO handler,store,handleHostAction handlePlayerAction getSessionState,UNO_STATE UNO_HAND UNO_TURN UNO_EFFECT UNO_UNO_SAID UNO_WINNER SCORES_UPDATE,HOST_ACTION:uno:* PLAYER_ACTION:uno:*,Server-authoritative (deck effets)
server/games/quiz.js,game,Quiz handler,store fs path,handleHostAction handlePlayerAction getSessionState,QUIZ_QUESTION_START QUIZ_CORRECTION QUIZ_CAN_NEXT SCORES_UPDATE,HOST_ACTION:quiz:* PLAYER_ACTION:quiz:*,Tirage questions (déterministe)
